Country,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
Trinidad and Tobago,2.4881,0.2804,12.7835,0.0,13.0903,0.4044,2.3299,4.9733,6.7063,2.8789,0.2413,0.1837,1.2016,0.8939,0.2305,3.5148,0.0899,5.62,0.0,0.0928,1.2563,3.5256,37.2145,19.7,5.5,0.0205259313367421,0.000584368151935719,0.0100803506208912,0.00986121256391527,1369000.0,%
Tunisia,0.7037,0.2083,9.6312,0.0,12.0523,0.4508,0.7615,5.4307,1.6411,6.4775,0.0116,0.0926,0.2031,0.4311,0.1065,1.7724,0.1979,2.0832,0.0,0.3489,1.2551,15.7731,40.3673,27.3,4.3,0.0144334229993275,0.00042871553463349,0.0106338264963013,0.00337088096839274,11896000.0,%
Turkey,0.6474,0.1459,12.3156,0.0,9.708,0.3956,0.2582,6.8321,2.0694,9.3619,0.0101,0.0857,0.272,0.682,0.1251,2.4947,0.2002,1.7004,0.0,0.4664,1.0174,13.5284,37.6836,32.2,2,0.288996500949401,0.00699571276735493,0.268662598373479,0.0133381898085673,83737000.0,%
Uganda,6.1671,0.0352,5.6473,0.0,6.747999999999999,0.0815,1.0442,11.3112,0.8978,3.4755,0.0371,0.113,0.6338,2.3942,0.012,12.360999999999999,0.013000000000000001,1.2601,0.0,0.0,0.7440000000000001,2.6703,44.3536,4.1,41,0.00283553048687173,1.96760018364268e-05,0.00248573489866859,0.000330119586366717,45741000.0,%
Ukraine,2.625,0.1753,13.1214,0.0006,9.3613,0.8434,0.6821,2.9418,2.7425,8.5442,0.006999999999999999,0.1339,0.0175,0.1099,0.0111,7.6721,0.0883,3.8811,0.0,0.0807,0.647,9.4361,36.8777,26.1,3.5,0.200612762698071,0.00466752836421083,0.10944276892144199,0.086502465412418,41778000.0,%
United Kingdom,5.2632,0.2754,18.8798,0.0006,6.5412,0.621,1.0911,4.9551,4.4181,12.3684,0.6658,0.1056,0.22399999999999998,0.2035,0.0653,5.1133,0.2461,2.4383,0.0,0.0901,0.7372,4.5851,31.1116,29.5,2,0.466634901727219,0.0694029184038118,0.00217837998808815,0.3950536033353189,67160000.0,%
United Republic of Tanzania,4.5185,0.0403,4.8022,0.0,10.4453,0.03,0.5828,6.8147,0.7902,3.3606,0.0214,0.0,1.2839,2.1761,0.0274,13.937000000000001,0.03,1.0345,0.0,0.042,0.9136,3.952,45.1973,7.1,30.7,0.00085211102554659,3.51558576355175e-05,0.000306358187966652,0.00051059697994442,59734000.0,%
Uruguay,3.5664,0.21,17.8865,0.0,10.251,0.7764,0.6058,5.3746,3.7863,12.3906,0.3918,0.1168,0.27699999999999997,0.1936,0.0144,3.0439999999999996,0.6169,3.4102,0.0,0.0131,1.0337,3.9333,32.1076,28.9,2,0.0386292834890966,0.00104786179552535,0.0324553950722175,0.00512602662135372,3531000.0,%
Uzbekistan,0.6835,0.1353,14.4463,0.0,10.5365,0.3566,0.1218,5.215,1.8621,11.7952,0.04,0.1748,0.0287,0.0022,0.0038,2.8891,0.0644,0.5796,0.0,0.0649,0.6109,14.8354,35.554,15.3,6.3,0.0916018025399426,0.000585240241118979,0.0672792181190379,0.0237373441797858,34174000.0,%
Venezuela (Bolivarian Republic of),2.5952,0.0403,14.7565,0.0,12.9253,0.3389,0.9456,7.646,3.8328,9.392000000000001,0.0702,0.2078,0.0281,0.3342,0.0009,2.5643,0.1479,3.4106,0.0,0.0009,1.3734,4.1474,35.2416,25.2,21.2,0.0935590853552103,0.000799441438296387,0.0591028102635713,0.0336568336533426,28645000.0,%
Vietnam,1.4591,0.16399999999999998,8.5765,0.0042,16.874000000000002,0.3077,2.6392,5.9029,4.4382,0.6069,0.0126,0.4149,0.841,0.2032,0.2074,1.0596,0.28800000000000003,1.2846,0.815,0.307,0.2201,11.9508,41.4232,2.1,9.3,0.0008803750168903119,1.5591056969722197e-05,0.00041472211539461,0.00045006184452598,96209000.0,%
Yemen,0.0364,0.0446,5.7874,0.0,27.2077,0.2579,0.524,5.1344,2.7871,1.8911,0.2033,0.2827,0.0893,0.8645,0.0347,1.0794,0.2199,5.0468,0.0,0.0017,1.0811,3.2135,44.2126,14.1,38.9,0.00614229196003487,0.00173673975725877,0.00306779320056327,0.0013377590022128302,29826000.0,%
Zambia,5.736000000000001,0.0829,6.0197,0.0,21.1938,0.3399,1.6924,1.0183,1.8427,1.757,0.2149,0.3048,1.8736,0.1756,0.0478,7.9649,0.0618,1.5632,0.0,0.0014,0.6657,3.4649,43.9789,6.5,46.7,0.0446583986074848,0.0013109225413403,0.0369995648389904,0.00634791122715405,18384000.0,%
Zimbabwe,4.0552,0.0755,8.1489,0.0,22.624000000000002,0.2678,0.5518,2.2,2.6142,4.431,0.2012,0.2086,0.4498,0.4261,0.0252,2.987,0.1494,4.6485,0.0,0.0518,1.7103,2.3213,41.8526,12.3,51.3,0.0319450985669111,0.000699724147211196,0.0102536500033641,0.0209917244163359,14863000.0,%
