Country,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
Ethiopia,2.4543,0.0276,5.2956,0.0,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,0.018000000000000002,0.1382,0.2322,3.0195,0.4298,11.2918,0.2957,1.317,0.0,0.0802,0.4699,1.8449,44.6989,3.6,20.6,0.020528908071983,0.000365484353788854,0.009059660969751821,0.0111037627484423,114916000.0,%
Fiji,1.8598,0.2922,7.8511,0.0021,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,0.2586,0.1642,4.3799,0.7746,0.05,7.8599,0.1238,9.7259,0.0,0.0157,0.8683,3.9255,42.1469,30.0,3.7,0.0030133928571428603,0.00011160714285714299,0.00200892857142857,0.0008928571428571429,896000.0,%
Finland,4.5004,0.519,26.8865,0.0,5.1978,0.3979,1.5306,3.1864,3.4915,20.8378,0.7944,0.1097,0.0883,0.0533,0.0168,2.7671,0.545,1.8388,0.0,0.046,0.2468,3.8325,23.1132,24.9,2,0.137475131126786,0.00602278893109061,0.126243443660698,0.0052088985349972895,5529000.0,%
France,4.1631,0.7907,21.7097,0.0011,6.9951,0.611,1.8214,4.878,4.4005,13.784,0.1918,0.301,0.1479,0.0991,0.0164,2.6963,0.2925,2.611,0.0,0.2093,0.8675,5.1223,28.2903,23.2,2,0.368569448721897,0.0467000307976594,0.127765629812134,0.19410378811210302,64940000.0,%
Gabon,6.1881,0.0109,8.1825,0.0,9.1158,0.0701,2.2578,9.0341,4.32,0.9486,0.4751,0.5758,0.8509,0.0139,0.0015,11.8727,0.0212,1.2508,0.1248,0.0051,0.4824,2.3979,41.8004,13.4,10.5,0.3588525324966379,0.0022859704168534303,0.261004034065441,0.0955625280143433,2231000.0,%
Gambia,2.8419,0.0114,10.1417,0.0,21.8908,0.2008,3.9197,0.8742,1.1134,4.8167,0.9824,0.0812,3.1637,0.1281,0.0043,0.8614,0.2719,4.1176,0.0,0.0897,2.2026,2.4575,39.8291,8.7,10.2,0.0510964004964832,0.000951592883740174,0.00914356640463384,0.0410012412081092,2417000.0,%
Georgia,2.5343,0.2356,15.5347,0.0,15.6253,0.5032,0.6622,3.1735,2.6217,11.3605,0.7882,0.1507,0.084,0.0025,0.0247,3.7542,0.2397,3.3110000000000004,0.0,0.1631,0.6679999999999999,4.0993,34.4636,23.3,7.9,0.0336473755047106,0.00045760430686406505,0.0271870794078062,0.00600269179004038,3715000.0,%
Germany,6.7714,0.6715,20.8485,0.0011,6.0363,0.5947,0.6758,3.6131,4.6524,14.1789,0.0,0.0747,0.1701,0.0419,0.0429,3.5712,0.3493,2.5069999999999997,0.0,0.1903,0.8104,5.0542,29.1443,25.7,2,0.262314525810324,0.0110480192076831,0.23695318127250897,0.0143133253301321,83300000.0,%
Ghana,0.9444,0.0088,2.8956,0.0,6.3229999999999995,0.0705,1.4992,10.4274,0.8069,0.4178,0.1657,0.0917,0.7957,0.392,0.23800000000000002,24.6325,0.0053,0.8128,0.2815,0.0364,0.3655,1.6849,47.1041,9.7,5.5,0.132629614134458,0.000691919029382422,0.12463231744601401,0.0073053776590609205,31073000.0,%
Greece,2.2879,0.2116,17.6914,0.0005,7.2801,0.4539,1.026,6.3296,3.7836,12.0221,0.0596,0.1947,0.8112,0.2539,0.0243,3.1307,0.256,1.7744,0.0,0.6676,1.5237,7.9134,32.3038,27.4,2,0.0537289719626168,0.00199065420560748,0.012588785046728999,0.0391495327102804,10700000.0,%
Guatemala,1.7037,0.0957,10.3765,0.0,15.1579,1.4676,0.2807,6.7124,3.9589,4.4093,0.0348,0.1632,0.5276,1.6504,0.0403,1.3316,0.2872,5.3058,0.0,0.198,0.8747,5.7997,39.624,18.8,15.2,0.315437839034651,0.0122993468393668,0.252346950071958,0.0507915421233256,18066000.0,%
Guinea,0.311,0.0213,3.8776,0.0,17.2911,0.1648,0.8939,7.9395,1.1561,1.4724,0.2312,0.1692,0.9506,0.3925,0.0,11.7958,0.1196,1.3368,0.0,0.0009,1.3271,4.4286,46.1202,6.6,16.5,0.0631369426751592,0.00039808917197452204,0.0549203821656051,0.007818471337579621,12560000.0,%
Guinea-Bissau,2.4603,0.0423,4.9295,0.0,21.6069,0.1038,0.1666,6.3660000000000005,2.2155,2.1899,0.5331,0.2114,0.32799999999999996,0.2499,0.0013,8.1087,0.0167,0.7893,0.0,0.4485,1.8016,2.3642,45.0666,8.2,28,0.10648676699533001,0.00150492994291645,0.0489880643487286,0.0559937727036845,1927000.0,%
Guyana,1.8708,0.0206,9.1155,0.0,9.7847,0.1038,1.7011,5.7954,2.5237,4.7277,0.3516,0.0385,1.8367,0.3907,0.1942,1.8384,0.0742,3.2325,0.0,0.0435,0.2779,15.2061,40.8722,19.2,8.1,0.0721728081321474,0.00279542566709022,0.0240152477763659,0.0453621346886912,787000.0,%
Haiti,1.2733,0.0402,3.5986,0.0,13.4196,0.0525,0.5064,12.0278,1.9687,0.8765,0.3309,0.1532,0.4829,2.0067,0.0022,11.48,0.3801,2.0961,0.0,0.0,0.8742,2.0302,46.3997,20.5,49.3,0.066947294571604,0.00160484083136017,0.0436902569499255,0.0216521967903183,11403000.0,%
Honduras,2.0662,0.1378,13.6048,0.0,14.1699,0.4601,0.3339,6.8464,3.508,9.0154,0.6923,0.1505,0.1749,1.3962,0.0138,0.6796,0.4686,5.9591,0.0,0.0276,1.2467,2.6599,36.3883,19.4,12.9,0.485320356853204,0.0152676399026764,0.0674067315490673,0.40264598540146,9864000.0,%
Hungary,6.7533,1.0595,20.0268,0.0007,7.5908,0.8885,0.4113,3.0852,5.2042,12.4568,0.0039,0.0052,0.0679,0.1906,0.1802,3.0460000000000003,0.1031,2.5433,0.0,0.0183,0.7214,5.6788,29.9644,28.6,2,0.0484386198423262,0.006194327838640321,0.0360909183986895,0.00615337360499642,9767000.0,%
India,0.1959,0.0028,11.3357,0.0,17.3821,0.3061,0.6499,5.4333,0.35600000000000004,9.9889,0.0,0.0311,0.728,1.5709,0.3268,2.7906,0.0753,1.7471,0.0,0.1526,0.7487,7.5213,38.6568,3.8,14.5,0.162036640239983,0.00323241197057353,0.113098278694379,0.0457059495750304,1400100000.0,%
Indonesia,0.0794,0.0309,6.2575,0.0009,24.3918,0.4911,3.9386,5.5134,1.0316,0.5943,0.0026,0.1702,2.2113,0.0988,0.1508,4.6343,0.0406,1.8481,0.0,0.0564,0.8579,3.8558,43.7438,6.9,8.3,0.0467665664479519,0.00212152101833009,0.030262862526174,0.0143821829034478,271739000.0,%
Iran (Islamic Republic of),0.0007,0.5369,7.9295,0.002,14.0141,0.4916,0.7813,7.9235,2.3965,3.5808,0.0007,0.1405,0.054000000000000006,0.4729,0.0559,3.2877,0.1299,2.198,0.0,0.6421,0.7706,12.5207,42.0701,25.5,4.9,0.390783125371361,0.0221224004753417,0.34063220439691,0.0280285204991087,84150000.0,%
Iraq,0.1915,0.0423,6.2809,0.0,24.0855,1.2467,0.445,6.4975,2.5171,1.9902,0.3975,0.0396,0.3037,0.4807,0.0304,1.0842,0.1783,3.3755,0.0,0.1268,2.0139,4.9563,43.7165,27.4,29,0.38665575833857796,0.0137545626179987,0.276375078665828,0.0965261170547514,39725000.0,%
Italy,3.1892,0.2834,19.0329,0.0005,8.5417,0.6247,1.5816,6.0207,4.2963,12.1258,0.0403,0.1194,0.1836,0.2781,0.0064,1.9043,0.2946,1.7175,0.0,0.423,1.4224,6.9463,30.9671,22.9,2,0.41598945203661897,0.0583935916147008,0.33542523550484304,0.0221706249170758,60296000.0,%
Jamaica,2.4636,0.2074,11.9958,0.0074,8.5031,0.1457,1.8692,8.0661,4.3372,5.2170000000000005,0.6952,0.2111,0.9990000000000001,0.2177,0.3752,4.5837,0.1677,4.6889,0.0,0.011000000000000001,0.7584,6.4772,38.0023,24.4,8,0.0367034531861873,0.000498398006407974,0.0265218939124243,0.009683161267354929,2809000.0,%
Japan,4.044,0.0751,15.3194,0.1088,12.1692,1.696,3.9283,2.8618,4.2599,5.063,0.2962,0.1883,0.7737,0.1287,0.1036,2.2072,0.3731,2.2055,0.228,0.0812,1.3445,7.8669,34.6776,4.4,2,0.039388887565791,0.00083513936189637,0.0265545738169521,0.0119991743869426,125967000.0,%
Jordan,0.0846,0.1162,9.3186,0.0,14.138,0.3344,0.5985,4.6624,3.8651,4.2637,0.3579,0.1397,0.728,0.6393,0.0469,2.1431,0.3742,4.7276,0.0,0.1652,1.9861,10.6308,40.6798,33.4,12.2,0.0118737709523364,0.000103005899428785,0.0111152729656335,0.0006554920872740889,10679000.0,%
Kenya,1.9664,0.1175,11.4394,0.0,15.1221,0.1447,0.4329,4.6941,1.7336,8.7987,0.025,0.21100000000000002,0.2686,1.751,0.0174,7.5828,0.223,1.8098,0.0,0.0892,0.6689,4.345,38.5589,6.0,29.4,0.0503063817067703,0.000790240621730683,0.0252111044686893,0.0243050366163503,53528000.0,%
"Korea, South",4.8669,0.2553,11.8174,1.6794,11.7286,0.6414,3.4396,3.6993,4.4239,1.1394,0.0,0.2378,0.5632,0.07200000000000001,0.0288,0.9799,0.0945,2.4835,0.0006,0.1664,1.1663,12.3349,38.181,4.9,2,0.0283115428439003,0.000589019138293969,0.0265135860643866,0.00120893764121975,51781000.0,%
Lao People's Democratic Republic,0.7883,0.0979,3.6579,0.0006,16.3943,0.1063,1.4213,8.8158,1.7111,0.1632,0.3404,0.1581,0.3584,0.1485,0.1317,3.4835,0.9869,1.1101,1.9254,0.0028,0.2149,11.640999999999998,46.3416,4.5,16.5,0.000276166804750069,0.0,0.000262358464512566,1.38083402375035e-05,7242000.0,%
Latvia,5.4573,1.1805,18.8216,0.0005,6.3952,0.6645,1.3226,2.5738,3.6559,11.8285,0.2596,0.1686,0.1107,0.0032,0.0122,6.5835,0.1963,2.6169,0.0,0.0793,0.6990000000000001,6.1946,31.1757,25.7,2,0.0678233438485804,0.0016824395373291302,0.0562565720294427,0.00988433228180862,1902000.0,%
Lebanon,0.7164,0.0796,8.0679,0.0,11.8253,0.17300000000000001,0.7091,6.9852,1.9469,5.0748,0.0747,0.0853,0.5052,0.5011,0.0406,3.2676,0.3647,5.1366,0.0,0.5271,1.4807,10.5128,41.9252,31.3,11,0.0998095238095238,0.00117216117216117,0.0335531135531136,0.0650842490842491,6825000.0,%
Lesotho,3.4135,0.0233,6.0914,0.0,23.4645,0.1204,0.2383,1.8065,2.529,2.7893,0.3898,0.3924,0.0725,1.1603,0.1165,7.1935,0.0363,2.2079,0.0,0.0052,0.6786,3.3721,43.8988,13.5,13.1,0.0364612511671335,0.00112044817927171,0.008169934640522871,0.0271708683473389,2142000.0,%
Liberia,1.0338,0.0264,3.7603,0.0,16.1465,0.1598,0.7764,5.3606,2.4123,0.1545,0.2997,0.2311,0.4159,0.0977,0.0013,15.3608,0.0132,1.1236,1.1804,0.0779,1.9567,3.1728,46.2383,8.6,37.2,0.0245156188216686,0.0015618821668643699,0.0143337287465401,0.00862000790826414,5058000.0,%
Lithuania,5.5419,0.5316,23.049,0.0009,6.4732,0.7,1.5431,2.4007,3.7899,16.3529,0.0126,0.1301,0.0867,0.4388,0.0546,2.2766,0.2164,4.502,0.0,0.055,0.4924,4.4045,26.9471,28.4,2,0.0810665712240515,0.00289906943450251,0.0597709377236936,0.0183965640658554,2794000.0,%
Madagascar,0.7972,0.0415,4.9125,0.0024,19.9604,0.077,0.6267,5.0701,1.4618,2.5031,0.0782,0.2002,0.1848,0.3708,0.0486,14.4675,0.2085,1.0922,0.5852,0.0261,0.3115,1.8871,45.0869,4.5,44.4,0.047676140262179,0.000545303528222166,0.0397638221804919,0.00736701455346503,27691000.0,%
Malawi,1.1827,0.0814,2.7754,0.0,10.6197,0.0829,0.6970000000000001,8.4723,1.4923,0.2524,0.0396,0.1695,0.5436,1.1841,0.0139,20.2901,0.0389,0.6412,0.0,0.0161,0.204,3.9786,47.2242,4.7,17.5,0.0244328280188186,0.000763199163617355,0.0127025614218505,0.0109670674333508,19130000.0,%
Malaysia,0.8948,0.0882,12.6354,0.0204,17.3088,1.6596,5.3482,4.1713,4.9092,0.53,0.1541,0.0789,0.5801,0.2617,0.4502,1.6568,0.1012,3.903,0.0,0.0835,1.6336,6.1678,37.3632,15.3,2.5,0.0277416796314939,0.000381318446661176,0.0268539702876666,0.000506390897166041,32781000.0,%
Mali,2.8904,0.0444,10.1637,0.0,19.8566,0.0573,0.7543,3.8991,1.9124,7.1206,0.1841,0.2746,0.491,0.7955,0.0638,2.6772,0.0614,0.8811,0.0,0.2374,0.5144,7.2943,39.8262,7.1,6.3,0.0127055454051652,0.000617253468964496,0.00972297664312873,0.00236531529307195,20251000.0,%
Malta,3.9051,0.2062,13.6092,0.0017,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,0.0315,0.0747,0.2899,0.2197,0.0331,2.059,0.2101,5.2164,0.0,0.1236,0.486,11.2856,36.3899,31.0,2,0.21302681992337197,0.0017241379310344801,0.131800766283525,0.0795019157088123,522000.0,%
Mauritania,0.0055,0.1127,15.0193,0.0,20.4873,0.2539,1.0025,1.2991,3.3994,9.825,0.7519,0.4279,0.0799,1.0999,0.0066,1.0168,0.3677,4.3166,0.0,0.0,1.5716,3.9784,34.9779,11.3,10.4,0.140967741935484,0.00337634408602151,0.119784946236559,0.0178064516129032,4650000.0,%
Mauritius,3.0805,0.0074,9.27,0.0102,17.1855,0.591,2.1303,3.568,4.6992,1.7166,1.0545,0.1173,0.4479,0.856,0.1847,1.8348,0.1625,3.568,0.0,0.0369,2.049,6.7122,40.7175,11.5,6.5,0.0271936758893281,0.0007905138339920951,0.026403162055336004,0.0,1265000.0,%
Mexico,4.4105,0.1672,15.1527,0.0201,11.4325,1.2967,0.9656,7.6794,4.3561,7.9917,0.0275,0.3552,0.1947,0.7071,0.1121,1.1644,0.0248,3.2266,0.0,0.1121,0.6856,5.0713,34.8456,28.4,3.6,0.38017716288969605,0.0414759922373858,0.30765619131088,0.0310449793414298,127792000.0,%
Mongolia,3.1430000000000002,0.3846,25.8904,0.0,10.1415,0.3727,0.044000000000000004,1.0413,8.0929,15.856,0.5962,1.1411,0.0266,0.0366,0.0037,2.6155,0.1401,1.4680000000000002,0.0,0.0137,0.555,4.3326,24.1046,19.6,13.4,0.00871764355846474,0.0,0.00782505206783695,0.000892591490627789,3361000.0,%
Morocco,0.287,0.1449,8.4754,0.0,18.7029,0.4848,1.3901,7.211,2.5074,3.7539999999999996,0.0079,0.1949,0.1892,0.3306,0.1185,3.4356,0.2042,2.6816,0.0,0.2549,0.8168,7.2860000000000005,41.5224,25.6,3.4,0.094745772140632,0.00143524699599466,0.0682131731197152,0.0250973520249221,35952000.0,%
Mozambique,1.2195,0.0297,4.0111,0.0,13.1904,0.1932,1.1353,2.8312,0.9302,1.6385,0.1565,0.0852,0.1258,1.2809,0.004,22.2864,0.105,1.0649,0.0,0.2011,0.7509,2.7738,45.9864,6.0,27.9,0.00773599435282038,5.13379965346852e-05,0.00275941731373933,0.00492523904254636,31166000.0,%
Namibia,5.4716,0.1134,9.6094,0.0053,9.9189,0.1196,1.0164,3.1266,2.6844,5.4479,0.7228,0.2207,0.0818,0.7298,0.1266,12.8231,0.0888,3.9848,0.0009,0.0114,0.9531,2.3626,40.38,15.0,27.3,0.122038567493113,0.000747737111373475,0.0281385281385281,0.0931523022432113,2541000.0,%
Nepal,0.3318,0.0312,5.4355,0.0,18.1511,0.1435,0.205,4.7443,0.9817,3.9212,0.0594,0.1536,0.0594,0.9107,0.4195,6.0521,0.0319,0.547,3.0677,0.0978,0.8209,9.277000000000001,44.5576,3.8,8.7,0.0777103613815175,0.00026336844912655,0.0549839978663822,0.0224629950660088,29996000.0,%
Netherlands,4.3903,0.3343,24.2977,0.0111,4.9685,0.747,1.1517,4.923,4.0105,18.0051,0.0,0.0397,0.1111,0.0852,0.064,4.2639,0.2904,2.3446,0.0,0.1587,0.8485,3.2587,25.6959,23.1,2,0.34383694967653305,0.0353695540161447,0.00135684433503177,0.30711055132535603,17467000.0,%
New Zealand,5.222,0.7446,17.5777,0.017,7.7522,0.7067,1.6771,4.0202,6.8421,7.4627,0.0,0.1275,0.3296,0.2414,0.0495,3.3719,0.2374,3.8188,0.0109,0.1499,0.5364,6.6889,32.4155,32.0,2,0.031481852817325004,0.000441146982153599,0.0305995588530178,0.000441146982153599,4987000.0,%
Nicaragua,1.7194,0.0836,13.1538,0.003,16.8052,0.5489999999999999,0.6557,3.8377,3.1044,8.5527,0.6658,0.2055,0.3354,1.3618,0.006,1.9118,0.005,5.7021,0.0,0.003,0.9227,3.5808,36.8356,21.8,17,0.0591570648878108,0.00186476652516677,0.0441631291691934,0.0131291691934506,6596000.0,%
Niger,0.0558,0.1185,7.2385,0.0,22.2843,0.0239,0.2022,2.5503,1.2702,5.4224,0.0687,0.2022,1.4804,3.4838,0.0807,1.3489,0.0349,0.3666,0.0,0.0,0.3975,10.6117,42.7585,4.7,16.5,0.00478730001240233,0.000285253627682004,0.0043904253999752,0.000111620984745132,24189000.0,%
Nigeria,4.0037,0.0151,1.7391,0.0,10.922,0.1976,0.7239,4.4268,0.5675,0.17300000000000001,0.0437,0.0627,0.4763,0.8311,0.1715,19.5271,0.0064,0.6501,0.0,0.0841,0.8573,6.2627,48.2585,7.8,13.4,0.0227355195498205,0.00046085184825846507,0.0161763849810808,0.006098282720481229,206140000.0,%
Norway,3.7939,0.6119,21.1992,0.0005,5.9777,0.6194,2.7466,4.2801,3.6083,13.5227,3.6634,0.0893,0.3113,0.3204,0.0235,2.8097,0.4819,2.2652,0.0,0.099,0.8697,3.9131,28.7933,25.0,2,0.17976610358269896,0.00475218117690737,0.164414330796362,0.0105995916094301,5387000.0,%
Pakistan,0.0085,0.0969,22.2758,0.0011,14.6224,0.3577,0.1831,2.4099,1.7957,19.6466,0.0117,0.1969,0.3577,0.6993,0.1618,1.8202,0.5258,2.6707,1.7915,0.0852,0.3417,2.2173,27.7226,7.8,20.3,0.128840409160858,0.0027595727346791,0.118024803113968,0.008056033312211459,220940000.0,%
Paraguay,3.9095,0.2191,11.2654,0.0,7.5639,0.9035,0.3119,5.4532,4.0434,5.3208,0.1788,0.4675,0.2745,0.6185,0.0082,12.5302,1.0112,2.4084,0.0,0.0015,1.0733,3.7113,38.726,19.0,10.7,0.09971054445210199,0.0011302549965541,0.0727222605099931,0.0258580289455548,7255000.0,%
Philippines,1.9716,0.3074,6.7108,0.0,20.0498,0.3527,2.4506,8.5466,3.2257,0.1045,0.1925,0.2717,0.5425,0.1106,0.034,2.8773,0.5399,2.3774,0.0,0.1838,0.4119,5.4481,43.2905,6.0,13.3,0.124691324225915,0.00209342860532392,0.0621996513994214,0.0603982442211697,109581000.0,%
