Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Bolivia,2020-03-11,2020-03-29,2020-03-14,2020-03-27,2020-03-31,0.12544409482118868,0.9523809523809524,9.990454671488184,9.416817266956732,6.6746622639799975,3.1220141467526883,1.818706029570669,11.209534449500001,4.959810309819403,1.9784471262799999,1.2565409746745406,3.1642941778130336,65.87884212912405,6.01,37.0,43.0,472.0,0.0,1019.0,26.0,5.0,114.0,318.0,77.0,6.0,4.0,19.0,43.0,4.0,167.0,13.0,268.0,37.0,125.0,30.0,1881.0,11.0,0.29,1807.0,500.0,1270.0,16.111,2020-03-12,99.0,5.0,70.4,25.3,1.44,20.8,6.3,-0.3,155.0,32.2,70.4,2.48,20.2,1.0,-2.0,-15.0,-17.0,89.0,71,74.0,87.0
Cameroon,2020-03-06,2020-03-25,2020-03-17,2020-03-23,2020-03-29,0.23942005719100445,0.3611111111111112,4.877371551563146,3.512043223118462,3.7712388946,1.8436000613596564,1.1375637171586321,16.971400943499994,2.2131971311251286,12.294106805,14.293772666981006,3.202733362804739,119.5113103713414,2.69,81.0,8.0,115.0,0.0,1089.0,1.0,29.0,186.0,53.0,22.0,3.0,3.0,127.0,189.0,35.0,431.0,2.0,85.0,17.0,220.0,73.0,2538.0,13.0,0.04,83.0,151.0,22.0,0.898,2020-03-18,74.0,5.0,62.3,18.5,2.78,36.3,8.1,-0.3,529.0,51.5,62.3,4.66,11.4,12.0,1.0,-5.0,-7.0,85.0,66,77.0,83.0
Honduras,2020-03-11,2020-03-26,2020-03-19,2020-03-26,2020-03-29,0.22101539719972849,0.6936507936507935,12.538357511684339,6.791652231793204,7.84212934255,3.8257752675092216,3.3090332470268544,6.1307409976,4.756099662575218,1.6926060094300002,1.2448226953242263,1.8653537073423607,16.133139871894688,8.91,36.0,33.0,344.0,0.0,1191.0,15.0,5.0,79.0,148.0,138.0,8.0,4.0,9.0,122.0,1.0,15.0,12.0,436.0,2.0,280.0,19.0,2208.0,7.0,0.086,444.0,498.0,147.0,3.144,2020-03-12,88.0,5.0,74.6,24.4,1.27,18.5,4.7,-1.4,65.0,14.6,74.6,2.09,21.4,1.0,-7.0,-14.0,-14.0,86.0,71,79.0,86.0
Kenya,2020-03-13,2020-03-26,2020-03-22,2020-03-30,2020-04-02,0.23874197454567644,0.3333333333333333,5.179330905478852,3.728303158866701,2.69376096759,1.7424329021403302,1.8330907140748205,26.6720493964,2.35923148056,17.056098604600002,2.234817859205939,2.735108782827789,94.55463077100914,3.36,29.0,15.0,251.0,0.0,1121.0,4.0,7.0,59.0,80.0,138.0,0.0,6.0,17.0,151.0,1.0,164.0,3.0,156.0,6.0,140.0,26.0,1873.0,14.0,0.016,316.0,357.0,129.0,1.988,2020-03-16,87.0,5.0,69.0,20.0,2.2,27.2,5.2,-0.2,342.0,29.8,69.0,3.43,7.1,3.0,-6.0,-14.0,-10.0,86.0,73,82.0,90.0
Moldova,2020-03-08,2020-03-18,2020-03-14,2020-03-20,2020-03-23,0.16818824601812465,0.2416666666666667,29.003592619007545,11.782857852098848,3.88177113008,2.233640257837454,6.288226368324226,2.9542395314300003,5.614175724240488,1.3439100241600002,0.07463985934895885,0.7967555012688501,23.105221346715396,15.23,99.0,86.0,589.0,0.0,1024.0,30.0,23.0,55.0,175.0,267.0,8.0,8.0,4.0,7.0,1.0,84.0,15.0,222.0,2.0,229.0,56.0,1805.0,58.34,0.49,563.0,641.0,553.0,32.001999999999995,2020-03-11,97.0,5.0,71.9,37.7,-1.08,10.7,12.6,-9.0,19.0,11.1,71.9,1.58,18.9,3.0,-3.0,-9.0,-7.0,78.0,68,74.0,80.0
Philippines,2020-01-30,2020-02-02,2020-03-08,2020-03-12,2020-03-14,0.224053517503724,0.12261100134356832,17.304159037256483,7.480225105819239,7.82374604857,5.100454905890986,1.2269556076675383,10.3213649086,5.3812197408291516,3.96577999717,1.10818690681058,1.3895511226827684,128.35714198424589,14.19,58.0,74.0,413.0,0.0,1525.0,16.0,52.0,140.0,238.0,23.0,2.0,10.0,29.0,12.0,4.0,87.0,12.0,218.0,10.0,115.0,49.0,2261.0,5.0,0.12,2500.0,3362.0,3611.0,12.75,2020-03-16,80.0,5.0,70.0,24.1,1.52,22.9,6.0,-1.8,121.0,20.0,70.0,2.92,6.4,46.0,8.0,4.0,43.0,33.0,30,68.0,72.0
